"","Label","Participant_ID","group","PennElementName","trial_number","sentence_number","item_number","item_type","condition","verb_type","verb","sentence_type","mood","mood_type","NPI","NPI_type","NPI_type2","EmbVerb","Value","Q2_response","age","gender","education","languages","region_childhood","region_current","EventTime","PennElementType","Parameter","Results.reception.time","Order.number.of.item","Inner.element.number","Comments","Q2_as_num"
"1","exp_trial","1groupA","A","scaleQ2_exp",1,"147","25","Control","NNR+subj","NNR","saber","NNR","subj","ra","no","","na","despertarse","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040486656","Scale","Choice",1702041190,33,0,"NULL","1"
"2","exp_trial","1groupA","A","scaleQ2_exp",2,"112","19","Control","NR+ind+NPI","NR","pensar","NR+NPI","ind","","yes","hasta","hasta","llegar","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040494425","Scale","Choice",1702041190,27,0,"NULL","1"
"3","exp_trial","1groupA","A","scaleQ2_exp",3,"130","22","Control","NR+ind+NPI","NR","considerar","NR+NPI","ind","","yes","hasta","hasta","terminar","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040506923","Scale","Choice",1702041190,30,0,"NULL","1"
"4","exp_trial","1groupA","A","scaleQ2_exp",5,"95","16","Critical Item","NR+ind","NR","considerar","NR","ind","","no","","na","manejar","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040523210","Scale","Choice",1702041190,24,0,"NULL","1"
"5","exp_trial","1groupA","A","scaleQ2_exp",7,"19","4","Critical Item","NR+subj+NPI","NR","considerar","NR+NPI","subj","ra","yes","en años","en","cometer","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040573608","Scale","Choice",1702041190,12,0,"NULL","1"
"6","exp_trial","1groupA","A","scaleQ2_exp",8,"77","13","Critical Item","NR+ind","NR","pensar","NR","ind","","no","","na","venir","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040622628","Scale","Choice",1702041190,21,0,"NULL","1"
"7","exp_trial","1groupA","A","scaleQ2_exp",9,"159","27","Control","NNR+subj","NNR","resultar evidente","NNR","subj","ra","no","","na","comenzar","<span style='margin: 2em;'>No</span>","no","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040628645","Scale","Choice",1702041190,35,0,"NULL","0"
"8","exp_trial","1groupA","A","scaleQ2_exp",10,"171","29","Control","NNR+subj","NNR","asegurar","NNR","subj","ra","no","","na","aterrizar","<span style='margin: 2em;'>No</span>","no","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040635387","Scale","Choice",1702041190,37,0,"NULL","0"
"9","exp_trial","1groupA","A","scaleQ2_exp",11,"83","14","Critical Item","NR+ind","NR","creer","NR","ind","","no","","na","leer","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040696920","Scale","Choice",1702041190,22,0,"NULL","1"
"10","exp_trial","1groupA","A","scaleQ2_exp",13,"194","33","Critical Item","NR+subj","NR","parecer","NR","subj","se","no","","na","inaugurar","<span style='margin: 2em;'>Sí</span>","yes","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040826841","Scale","Choice",1702041190,41,0,"NULL","1"
