"","Label","Participant_ID","group","PennElementName","trial_number","sentence_number","item_number","item_type","condition","verb_type","verb","sentence_type","mood","mood_type","NPI","NPI_type","NPI_type2","EmbVerb","Value","Q2_response","age","gender","education","languages","region_childhood","region_current","EventTime","PennElementType","Parameter","Results.reception.time","Order.number.of.item","Inner.element.number","Comments"
"1","exp_trial","1groupA","A","scaleQ1_exp",1,"147","25","Control","NNR+subj","NNR","saber","NNR","subj","ra","no","","na","despertarse","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040481070","Scale","Choice",1702041190,33,0,"NULL"
"2","exp_trial","1groupA","A","scaleQ1_exp",2,"112","19","Control","NR+ind+NPI","NR","pensar","NR+NPI","ind","","yes","hasta","hasta","llegar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040492508","Scale","Choice",1702041190,27,0,"NULL"
"3","exp_trial","1groupA","A","scaleQ1_exp",3,"130","22","Control","NR+ind+NPI","NR","considerar","NR+NPI","ind","","yes","hasta","hasta","terminar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040504014","Scale","Choice",1702041190,30,0,"NULL"
"4","exp_trial","1groupA","A","scaleQ1_exp",4,"13","3","Critical Item","NR+subj+NPI","NR","parecer","NR+NPI","subj","ra","yes","en años","en","ser rentable","3","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040514313","Scale","Choice",1702041190,11,0,"NULL"
"5","exp_trial","1groupA","A","scaleQ1_exp",5,"95","16","Critical Item","NR+ind","NR","considerar","NR","ind","","no","","na","manejar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040519498","Scale","Choice",1702041190,24,0,"NULL"
"6","exp_trial","1groupA","A","scaleQ1_exp",7,"19","4","Critical Item","NR+subj+NPI","NR","considerar","NR+NPI","subj","ra","yes","en años","en","cometer","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040572384","Scale","Choice",1702041190,12,0,"NULL"
"7","exp_trial","1groupA","A","scaleQ1_exp",8,"77","13","Critical Item","NR+ind","NR","pensar","NR","ind","","no","","na","venir","4","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040621325","Scale","Choice",1702041190,21,0,"NULL"
"8","exp_trial","1groupA","A","scaleQ1_exp",9,"159","27","Control","NNR+subj","NNR","resultar evidente","NNR","subj","ra","no","","na","comenzar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040626080","Scale","Choice",1702041190,35,0,"NULL"
"9","exp_trial","1groupA","A","scaleQ1_exp",10,"171","29","Control","NNR+subj","NNR","asegurar","NNR","subj","ra","no","","na","aterrizar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040634253","Scale","Choice",1702041190,37,0,"NULL"
"10","exp_trial","1groupA","A","scaleQ1_exp",11,"83","14","Critical Item","NR+ind","NR","creer","NR","ind","","no","","na","leer","5","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040695665","Scale","Choice",1702041190,22,0,"NULL"
"11","exp_trial","1groupA","A","scaleQ1_exp",13,"194","33","Critical Item","NR+subj","NR","parecer","NR","subj","se","no","","na","inaugurar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040824153","Scale","Choice",1702041190,41,0,"NULL"
"12","exp_trial","1groupA","A","scaleQ1_exp",14,"165","28","Control","NNR+subj","NNR","ser consciente","NNR","subj","ra","no","","na","zarpar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040832607","Scale","Choice",1702041190,36,0,"NULL"
"13","exp_trial","1groupA","A","scaleQ1_exp",15,"142","24","Control","NR+ind+NPI","NR","dar la impresión","NR+NPI","ind","","yes","hasta","hasta","estrenar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040840861","Scale","Choice",1702041190,32,0,"NULL"
"14","exp_trial","1groupA","A","scaleQ1_exp",16,"153","26","Control","NNR+subj","NNR","estar seguro","NNR","subj","ra","no","","na","mandar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040855053","Scale","Choice",1702041190,34,0,"NULL"
"15","exp_trial","1groupA","A","scaleQ1_exp",17,"124","21","Control","NR+ind+NPI","NR","parecer","NR+NPI","ind","","yes","hasta","hasta","empezar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040862381","Scale","Choice",1702041190,29,0,"NULL"
"16","exp_trial","1groupA","A","scaleQ1_exp",18,"101","17","Critical Item","NR+ind","NR","opinar","NR","ind","","no","","na","presentar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040872755","Scale","Choice",1702041190,25,0,"NULL"
"17","exp_trial","1groupA","A","scaleQ1_exp",20,"42","7","Control","NNR+ind","NNR","saber","NNR","ind","","no","","na","escuchar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040895103","Scale","Choice",1702041190,15,0,"NULL"
"18","exp_trial","1groupA","A","scaleQ1_exp",21,"72","12","Control","NNR+ind","NNR","recordar","NNR","ind","","no","","na","teñir","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040919260","Scale","Choice",1702041190,20,0,"NULL"
"19","exp_trial","1groupA","A","scaleQ1_exp",22,"48","8","Control","NNR+ind","NNR","estar seguro","NNR","ind","","no","","na","caminar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040930895","Scale","Choice",1702041190,16,0,"NULL"
"20","exp_trial","1groupA","A","scaleQ1_exp",23,"206","35","Critical Item","NR+subj","NR","opinar","NR","subj","se","no","","na","recibir la carta ","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040963619","Scale","Choice",1702041190,43,0,"NULL"
"21","exp_trial","1groupA","A","scaleQ1_exp",24,"89","15","Critical Item","NR+ind","NR","parecer","NR","ind","","no","","na","aumentar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040976433","Scale","Choice",1702041190,23,0,"NULL"
"22","exp_trial","1groupA","A","scaleQ1_exp",25,"212","36","Critical Item","NR+subj","NR","dar la impresión","NR","subj","se","no","","na","comenzar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040987178","Scale","Choice",1702041190,44,0,"NULL"
"23","exp_trial","1groupA","A","scaleQ1_exp",26,"177","30","Control","NNR+subj","NNR","recordar","NNR","subj","ra","no","","na","tomar una decisión","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702040992397","Scale","Choice",1702041190,38,0,"NULL"
"24","exp_trial","1groupA","A","scaleQ1_exp",28,"66","11","Control","NNR+ind","NNR","asegurar","NNR","ind","","no","","na","mejorar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041010305","Scale","Choice",1702041190,19,0,"NULL"
"25","exp_trial","1groupA","A","scaleQ1_exp",30,"200","34","Critical Item","NR+subj","NR","considerar","NR","subj","se","no","","na","graduar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041029829","Scale","Choice",1702041190,42,0,"NULL"
"26","exp_trial","1groupA","A","scaleQ1_exp",31,"25","5","Critical Item","NR+subj+NPI","NR","opinar","NR+NPI","subj","ra","yes","en años","en","arrojar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041039407","Scale","Choice",1702041190,13,0,"NULL"
"27","exp_trial","1groupA","A","scaleQ1_exp",32,"60","10","Control","NNR+ind","NNR","ser consciente","NNR","ind","","no","","na","presentar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041084166","Scale","Choice",1702041190,18,0,"NULL"
"28","exp_trial","1groupA","A","scaleQ1_exp",33,"118","20","Control","NR+ind+NPI","NR","creer","NR+NPI","ind","","yes","hasta","hasta","encontrar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041090462","Scale","Choice",1702041190,28,0,"NULL"
"29","exp_trial","1groupA","A","scaleQ1_exp",35,"31","6","Critical Item","NR+subj+NPI","NR","dar la impresión","NR+NPI","subj","ra","yes","en años","en","visitar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041117102","Scale","Choice",1702041190,14,0,"NULL"
"30","exp_trial","1groupA","A","scaleQ1_exp",36,"188","32","Critical Item","NR+subj","NR","creer","NR","subj","se","no","","na","obtener","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041123569","Scale","Choice",1702041190,40,0,"NULL"
"31","exp_trial","1groupA","A","scaleQ1_exp",37,"182","31","Critical Item","NR+subj","NR","pensar","NR","subj","se","no","","na","acabar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041129790","Scale","Choice",1702041190,39,0,"NULL"
"32","exp_trial","1groupA","A","scaleQ1_exp",38,"1","1","Critical Item","NR+subj+NPI","NR","pensar","NR+NPI","subj","ra","yes","en años","en","leer","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041134283","Scale","Choice",1702041190,9,0,"NULL"
"33","exp_trial","1groupA","A","scaleQ1_exp",39,"107","18","Critical Item","NR+ind","NR","dar la impresión","NR","ind","","no","","na","organizar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041138143","Scale","Choice",1702041190,26,0,"NULL"
"34","exp_trial","1groupA","A","scaleQ1_exp",41,"136","23","Control","NR+ind+NPI","NR","opinar","NR+NPI","ind","","yes","hasta","hasta","despegar","3","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041154953","Scale","Choice",1702041190,31,0,"NULL"
"35","exp_trial","1groupA","A","scaleQ1_exp",43,"7","2","Critical Item","NR+subj+NPI","NR","creer","NR+NPI","subj","ra","yes","en años","en","visitar","6","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041170119","Scale","Choice",1702041190,10,0,"NULL"
"36","exp_trial","1groupA","A","scaleQ1_exp",44,"54","9","Control","NNR+ind","NNR","resultar evidente","NNR","ind","","no","","na","aumentar","7","na","18-29","Femenino","Educación universitaria","no","Andalucía","Comunidad de Madrid","1702041175432","Scale","Choice",1702041190,17,0,"NULL"
